issueNumber,prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,i18n,DevOps,Logic,Test,IO,UI,Security,App,corpus
1920,1942,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,mods importer regarding adds an importer for the mods xml format the importer is written with a jaxb parserdetails on the format and the newest xml schema can be found here used the newest schema version change in changelogmd described manually tested changed features in running jabref i just merged my xmlunit changes n i think it can useful for you too allows checking validating xml against a schema too i think your code looks good but generally i would like to see more comments and try using more lambdas + i dont really get why travis is failing the problem seems to with the integration tests not related to your changes hm im also wondering why codecov is not running the tests the test coverage should be much higher i dunno about codeco from my point of view its good + boceckts please have a final look okay i merge it in now as all things are resolved + regarding the failing tests we should investigate that in a new issue
1943,1944,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,try around with xmlunit see for details change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues please fix the two comments and then directly merge it
1877,1950,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,towards hierarchical keywords this pr is the first step towards supporting hierarchical keywords refactor the keyword related code to use new classes keywordlist and keyword unified keyword delimiter to be a single character and in this way fixed the issues mentioned in and move keyword delimiter from preferences to metadata database properties new pr add hierarchical delimiter and change parsing logic in keywordlist accordingly new pr change ui to support hierarchical keywords new prnote i also moved the stringutil class to model in some sense it is jabrefs own string class and removed entryutil only had methods related to strings stringutil or keywords keywordlist change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues
1958,1970,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,verbatim url field is no longer checked for html encoded chars change in changelogmd described manually tested changed features in running jabref please adjust the javadoc comment and then its good to merge +
1979,1981,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,icon does not change when toggling global search issue
2109,2114,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,ctrl s parsing error message ctrl s doesnt trigger parsing error messageproblem conflict of local shortcut of the entry editor with the global shortcutsolution local shortcut removed the action assigned to local and global shortcut is essentially the same save database change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate i have tested it and can confirm that it works removing the local shortcut is fine this was certainly the relic of some migration since it is not too much in size there is no need for a second review and ill merge right away grimes good job as always
2133,2163,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,fix highlighting issues earlier highlighting was done manually by adding tags to matches in the html text being sent to the pane instead i have opted to make use of the highlighting features of the jeditorpane class this gives the additional benefit that the highlight colour is changed automatically based on the system theme changes created jeditorpanewithhighlighting class removed matchhighlighter class and its tests removed highlighting related tests from layoutentrytest change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate checkstylemain ant checkstyle error home travis build jabref jabref src main java net sf jabref gui worker citationstyleworkerjava javaxswingjeditorpane should be separated from previous imports importorder thanks for your contributionwhat stefan kolb is telling you that the tests are currently failing as you do not respect the order of the import we defined in your changed classesplease check and or run gradlew eclipse to adjust the settings of intellij eclipse to order the imports correctly thanks stefan kolb and matthiasgeiger i forgot to run the checks before submitting no worries shitikanth ðÿ˜„ these check style things are a little bit nitpicky ðÿ˜‰
2168,2169,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,fix failing ads test added missing fields are really strange field values but this is a discussion for a post cleanup for now this hotfix is good
2177,2179,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,clear bibtexkey exception nullpointerexception caused by clearing bibtexkey field in entry editor change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate the version does not have exactly the same bug but the old code was also buggy because in a short test i run in severe freezes ive removed changelog entry
2208,2211,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,prevent the search to get focus when deleting pasting an entry fixes when you delete an entry the focus will no longer jump to the searchbar instead it will select the next entry also counts for pasting now it works for cutting entries tooi removed the code duplicate although im not sure about the the pattern not able to use runcommand actionsdelete to me code looks good +
2218,2226,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,fix for reenable ads fetcher see fetcher is now working again ~~ change in changelogmd described~~ affected search based fetcher still unreleased tests ~~created for changes~~ pass again ~~ ~~ manually tested changed features in running jabref ~~ helpjabreforg ~~ if you changed the localization did you run gradle ate ~~
2228,2229,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,fix medline fetcher by using https fix for change in changelogmd described helpjabreforg write blog post regarding november ncbi servers will redirect or reject all requests
2394,2400,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,groups matching with brackets in name change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate
2546,2554,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,replaced lrumap with a guava cache this is intended as a fix for note that the guava caches would allow for automated reloading of the entries but this is not undertaken in this implementation instead everything should work as before with the lrumap change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues thanks â¤ï¸ can you please also change the external librariestxt and remove commons from there also small issues checkstylemain ant checkstyle error home travis build jabref jabref src main java net sf jabref logic pdf fileannotationcachejava wrong order for netsfjabrefmodeldatabasebibdatabasecontext import importorder ant checkstyle error home travis build jabref jabref src main java net sf jabref logic pdf fileannotationcachejava wrong order for javautilhashmap import importorder checkstyle help thanks for the feedback there is quite a potential to improve stuff with these caches maybe ill have a look at the big picture there later
2501,2614,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,cleanup window has a scrollbar now fix for issue change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate it should be fixed now thanks again for your contributionill merge this in as the failing google scholar tests are not related to your changes
2660,2661,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,add possibility to clear the log at runtime tobiasdiez the dialog is not modal but does not update itself when new events arrive ie needs to be closed and opened again to see new events is this expected can we fix this yeah stefan kolb is now an active javafx developer ðÿ˜¼ code looks good so ill merge this actually new logs should be displayed automatically in the console this is why it is modal thus this is probably a bug can you please open a new issue i dont have time right now to further investigate this thanks
2664,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,avoid conversion of single underscores single underscores that are not followed by { are not converted to unicode during the latex to unicode conversion this is not actually correct according to the rules of latex but seems to be an important exception required by our usersthis is achieved by the following replace all single underscores with jabrefunderscore do the unicode conversion replace jabrefunderscore with an underscoretodo we should find a better magic word instead of jabrefunderscore because every character will be processed by latex unicode and that costs performance however it should still be long and unique enough so that we avoid accidental conversions suggestions anyone change in changelogmd described manually tested changed features in running jabref what about the unicode replacement char excellent idea siedlerchr i have implemented this using the replacement char and it still works as discussed in the devcall this can be merged aber fixing checkstyle
2806,2816,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,date editor also accepts incomplete dates should fix and change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate
2890,2891,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,adjust tests ads fetcher returns url dblp no longer works with negative operators internal change only some adjusted tests
2854,2921,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,readd context menu to linked files editor this was the last feature missing from the old file list editor the old class could thus be deleted change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate codewise looks good but you do have an architectural violatin your model class depends on gui import orgjabrefguiexternalfiletypeexternalfiletype and i tested it locally apart fromt he keybindings problem it works but i found one bugi can not delete a file entry which has no underlying file just add this line in your bibdatabase and try to delete the entry then file { kitamura a supporting tool for requirements elicitation using a domain ontologypdf pdf} it gives you an error message file not found
2968,2972,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,add remove link context menu entry in file editor fix for change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate
2993,2995,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,less backups addresses the frequent events are due to the bidirectional binding which transfers every change directly into the bibentry if we want fewer events the only solution will probably be to break the binding which would be very disappointing for the javafx implementation in my point of view the problem is not on the side of event creation after all every change should trigger an event and javafx triggers many changes imho this should be fixed in how we react to eventsi also noticed the exception but do not get a dialog this seems to happen because of the save operation invoked by the backupa solution might be to do less backups by doing backups only every x events and not for every event ignoring fieldchangeevents in the backup adding the size of the field change in the fieldchangeevent class so that you can ignore it if only character changedthis pr combines options and ie the backup manager ignores events that are very minor and only does a backup if enough of them have happened currently set to five what do you think change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate
2787,2997,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,changes in the entry editor mark the database as dirty partial fix to changes in the entry editor now mark the database as dirty this are somewhat proactive even only opening the entry editor will mark the database as changed id say this isnt a problem id rather have it do the marking than forget oneessentially this adds another listener to the properties in the entry editor that propagates the change whenever the property changes i havent figured out how to do this for groups change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate id say this is a hack whereas it is better than missing a changed state for now we should only mark the db as dirty if we really changed something im also not very happy with this solution from an architectural view why should the gui handle the dirty clean state and not the logic i would propose to add listeners to the database metadata in databasecontext which sets a corresponding flag the ui can then listen to changes of this new property and display the star in the tab accordingly the databasechangedevent is already realized with the eventbus system so it just needs a couple of listeners if i understand it correctly and one event bus can have multiple listeners for the same event ok i see so far it had been implemented only in the basepanel but i aggree that the cleanest solution is probably to track it in the database itself this wont be as quick as the current solution though the consensus seems to be that we are not going in this direction so ill close this pr
2980,3007,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,add preference migration for keybdingings fix for change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate
3074,3092,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,fetcher timestamp ok i tried to create a own preference class not sure if ive done that correctly as intended at the moment should i also replace calls to the preferences inside the general tab
3190,3203,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,when groups are removed also remove them from entries change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate ok i managed to get this done and i think ive addressed everything as the reviewers desired it can be merged from my point of view so please have a look and merge if you think it is ok one more try now only explicitgroups are removed from entries keyword based groups are kept i hope this is the last missing puzzle piece sorry for being pestic but with this implementation keyword groups that are children of the deleted explicit group are still handled wrongly i directly committed a fix if you are fine with it you have my ok for mergeby the way in order to convince you about the testability of javafx code you are invited to write a test covering the new behavior ðÿ˜ˆ thanks challenge accepted i did not only add one test but threei will merge when the build goes through
3172,3211,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,added logic to check whether linked file already exists added a check in linkedfileviewmodelrename to see if a file which isbeing renamed already exists in the target location if such a file isfound then an error popup displays informing the user of the conflictuser will be prompted to choose whether to overwrite or cancelalso see for additional details this work fine and includes all the requested changes from the previous pull request with one caveat if the file being overridden is related to a different entry and has different case such as entry abc renamed to def entry def then the nd entry file association will target a now non existing file its possible to get around this by searching the database for any entries that have the old filename def and changing the association to the new filename but i dont know if thats something desireable so i decided to push this as is for now ok i changed to an optional and removed filesexists targetfilepath as its redundant im still getting the hang of git and egit so hopefully the merge didnt mess anything up andrew lev i stick to git and git gui from command line a lot easier than struggling with the eclipse git client thanks this looks really good now
2811,3248,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,fix for issue bibtexkey generator does not use crossref information see the bibtex key generator now uses crossreferenced entries if required fields are empty change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues m that is really an impressive amount of tests good jobthere are two merge conflicts could you resolve those once thats done this pr is ready to go into master and once again thanks
3292,3325,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,annotations are now automatically refreshed this pr aims to by removing the refresh button completely and monitoring the pdf files automatically for changes in the progress of the implementation a few refactorings were made extract the file monitoring functionality from fileupdatemonitor to a new class and convert the timestamp based method to the new nio watcher interface extract the conflict handling code by external bib file changes from the base panel to a new class databasechangemonitor where also some of the old code from fileupdatemonitor now finds a new home this class is still a bit ugly but in my opinion better than before i hope that the conflict handling still works as expected i tested it but might have missed some special cases configurations change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate the changes are a bit hard to review but i have tested it locally and the annotations are refreshed as desiredi have another point though one that might entail some work since you are already touching this code do you see a change of refactoring the complete collab package so that it fits better to our architecture if we just take the current dependencies in the package then the whole thing would basically go into gui this already would be an improvement because the source code packages in root would already look a little more like where we want to gobut to be honest i do not get why file monitoring functionality should belong into the gui part at least part of that should be extractable into a non gui part and should be movable into logic if i look at changescanner then basically everything from line downwards is gui independent code i also dont see why change and its subclasses should be so heavily tied to ui code as far as i can see this is only because the code is tied so strongly to the undo framework couldnt we extract that part and move the change classes to a deeper layer ok ill merge this now and will have a look at the collab package later i second your concerns lenhard much of the code their should actually reside in logic this would also help siedlerchr in his endeavor towards sharelatex integration
3358,3388,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,added checking integrity dialog this change is related to jabref looked like it is hanging during long integrity checks i added a dialog with a progress bar to show that it is working checkingintegrity change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate thanks for fast response i fixed the problems thanks for your contribution i tested the changes locally and it works fine feel free to look at other issues as well
3500,3502,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,update user agent and change acm to https fix acm fetcher change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate hmmmm thats odd for me it worked will take a look at it okay i tested things again and i cannnot reproduce your error works fine on my side tested again still same error regardless of how i configure the fetcher in the uiit seems that someone else should be testing this as well is this the right test setting works here i get the same error on current master so this is probably unrelated to this pr seems what i get back from acm is chinese instead of a web page which probably means some encoding problem acm shouldnt block the current pr which i am merging now
3359,3506,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,automatically remove colon and apostrophe from key pattern colons and apostrophes are now removed from the generated key patterni also refactored the key generator mainly converting the static methods to instance methods change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate lenhard i manually tested most use cases where the code changes except openoffice since i dont use it what are our current plans for the release when do we want to release if there is still some time before the release i would prefer if this pr is merged before the release you may want to add the percent sign and the ampersand & which is problematic as it creates a problem with biber biblatex should this still go into tobiasdiez when you fix the checkstyle issues and conflicts then this pr can be merged
3538,3539,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,fix options databinding by adding elements if they are not in the initial map i dunno if this is the best idea but it works change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate can you please explain the reason for the bug in general the string converter should not modify the source or target map the reason for the bug is that the fromstring method does a lookup in the map with the current txt in the field if you enter a non predefined string into it the map lookup returns null because not found
3476,3551,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,make path relative when adding automatically found file change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate
3598,3600,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,make it possible to disable autocompletion in the search bar by covering the autocompletion in the search bar with the same preference option as in the entry editor change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate
3648,3670,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,chained modifiers work again the problem was that resultinglabel formatterget format label always used the original input and not the result of the previous modifier change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues
364,3709,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,group separator escaping
2617,3766,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,update architecture tests to catch static imports fixes a part of updates the architecture tests to junit and also catches violations in static imports now i tested this by adding a static import and checking that the build breaks it does but of course i had to remove the cause again change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues
3885,3887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,improvements around external file types because github does not support autolinking there i tried to implement but changes of the file type in the linked file editor are not saved for some reason ill investigate this again after is mergedthus only some relative minor code improvements fixes refactor external file type classes and extract a common externalfiletype interface extract all built in file types to separate enum implementing externalfiletype fix display of external file type editor dialog which is not shown in the current maintable beta version change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues since this pr is now ready for review over a month ill merge it despite not having any feedback so far
3269,3904,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,add union intersection toogle to groups menu because github does not support autolinking there change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues yeah i already thought about the same especially a way to indicate the current status would be nice so maybe an icon status somewhere i also like these circle indicators from set theory eg as you are working on the design any idea where to put such an icon for the groups siedlerchr i think the header of the groups view is the best place in idea this is similar the view settings for the project tree is in the top right corner of this panel so for me this would be the first place to look if there are several of such view options we probably need to make a button that opens a context menu if there are only two buttons they might fit into the existing header i will create a new pr based on maintable beta
3929,3931,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,correct fetcher messages siedlerchr we do
3966,3968,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,fix ieee fetcher by enabling cookie support apparently when in vpn network of university ieee fulltext fetcher needs cookie support enabled because github does not support autolinking there change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues
3966,3970,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,fixieee followup from my previous prnow document links in the format are supported tooand i also tested the paper linked in the issue from university network that works fine too because github does not support autolinking there change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues
3973,4011,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,reimplement tooltips for file and identifier columns this reimplements tooltips for file url doi and eprint column in the maintable beta change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues thanks again for your contribution
3062,4184,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,ctrl + f selects search field again because github does not support autolinking there shortcut was simply not registered also remove a bit of legacy code which is no longer needed change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues
4201,4212,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,make attached files relative to the file directory because github does not support autolinking there change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues
4202,4245,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,fix style issues in about dialog because github does not support autolinking there and a few other small style related issues i also created a little new app that make it simple to test the display of javafx controls as of now i only added a lot of buttons in different styles and states merge instead of squashing the commits change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues lgtm i am merging this now
3959,4258,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,migrate to junit because github does not support autolinking there migrate some packages imported from junit to junit such as orgjunittest orgjunitjupiterapitest orgjunitexperimentalcategoriescategory orgjunitjupiterapitag and so on at the same time we slightly modify some codes which rely on those packages and doesnt apply to junit but applys to junit for example we change test excepted xxxclass into using assertthrows and lambda category xxxclass into tag â€œxxxâ€ before into beforeeach and so on change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues first of all thanks for your contribution ðÿ‘ i just took a quick look at the code and it seems youre on a good wayit would be really nice if you convert the temporary folder rule from junit to junit as well tobiasdiez already implemented a sample conversion in a test in addition it would ne also nice if you could migrate the reaming parametrized tests the old ones rely on the runwith examples for the parametrized test can be found in the exporters i thinki think we can get rid of the swing gui tests as they are merely obsolete now that another pr was opened witch converts the tests from junit to i would propose the following you make this pr compile ie fix all the failing tests in a minimal intrusive way ie no further conversion of other tests we merge this pr and then afterwards everything that is still junit at this stage can be converted in further prs obsolete due to
4305,4311,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,fix drag and drop in entry editor comment same issue described consistent with preview panel behavior because github does not support autolinking there change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues as its a copy and paste of the method handling in the preview panel i merge this now
4329,4337,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fix export of corporate author to msoffice fix testsfix the underlying problem is the same as in however i came up with a workaround for msoffice getting the original field check for corporate author braces start and end get latex free value readd braces for corporate parse authorthe only edgecase which can occur if the entry starts with an author in latex braces and ends with an author in latex braces that one will probably be interpreted as corporate because github does not support autolinking there change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues the author parser is not the problem as long as the braces are present corporate authors are detected and correctly recognized its the latex to unicode converter who kills the braces from corporate authors this is the core problem see other linked issue and i currently see no easy way to either distinguish latex macros and corporate braces
4288,4355,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,auto trim url field because github does not support autolinking there fixes created a formatter to auto trim all kinds of whitespace defined by java change in changelogmd described manually tested changed features in running jabref _no need_ helpjabreforg https githubcom jabref helpjabreforg issues
