pr;DB;Interpreter;Logging;Thread;Data Structure;DevOps;i18n;Logic;Microservices;ML;Test;Search;IO;UI;Parser;Security;Cloud;Big Data;App;GIS;Util;NLP;APM;Network;Title;Body;prIssue;issue;issueTitle;issueBody;issueComments;issueTitleLink;issueBodyLink;issueCommentsLink;isPR;isTrain;commitMessage;Comments
27;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;partial fix for bug #913;realized many fields were not being exported  not only in .csv and .ods formats as stated in the bug report  but in .sxc as well. i fixed the export for both .ods and .sxc  but couldn t figure out how to fix it for .csv.;;;;;;;;;1;0;;
28;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;added special fields  printed  and  read status;added special fields  printed  and  read status   thereby implementing (at least partially): - feature #762 printed attribute - feature #692 marking of new entries and often read entries - feature #685 highlight new entries that were  forgotten  - feature #602 could add the mark as read feature - feature #225 read? checkbox  printed is just a boolean toggle and for the read field currently the values  skimmed  and  read  are possible (if you have any suggestions for further possibilities  i m happy to implement them). the icons are taken from  and should probably be replaced with icons from the same collection as the other currently used ones.;;;;;;;;;1;0;;
29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;fixed bug #1240. 1-char strings working correctly.;fixed bug #1240  about an error thrown when trying to add a string with length of one character.;;;;;;;;;1;0;;
31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;take aliased fields into account when sorting entries;;;;;;;;;;1;0;;
44;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;add entry under the  view  menu to hide the toolbar;in addition  i would suggest to hide the toolbar by default.;;;;;;;;;1;0;;
45;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;added the option to change the table row height padding.;previously  the padding added to the row height for the main table was hardcoded. the padding value can now be modified by the user through the preferences dialog. the old hardcoded value is used as the default value for the new preference.;;;;;;;;;1;0;;
46;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;add option to hide/show gridlines in the main table;cleaned-up version of older pull request 43;;;;;;;;;1;0;;
47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;added the ability to reorder the panels in the side pane.;side pane panels now feature an up arrow button and a down arrow button immediately to the left of the close button. these buttons allow panes to be swapped with the pane above or below them  respectively.  whenever the panes are reordered  the current position of each visible pane is recorded in the application preferences  so the user s custom ordering can be preserved when jabref is next run.;;;;;;;;;1;0;;
48;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;add the option to save selected entries as plain bibtex.;adds a new menu option called  save selected as plain bibtex  .  this option behaves the same way as the existing  save selected as ...  option  except that the jabref metadata and signature comment are not written to the resulting output file.;;;;;;;;;1;0;;
49;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;minor ui fix: add  save selected as plain bibtex  to the list of open database-only actions.;the  save selected as plain bibtex  menu option is now correctly enabled and disabled based on whether or not a database is currently open.  i haven t included a changelog entry  since this commit effectively just corrects a minor oversight on my behalf when adding this menu entry in [a previous pull request](  but i m happy to add one if deemed necessary.;;;;;;;;;1;0;;
55;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;mac bundle and integration for java 7;these changes creates a new compilation target for jabref  in order to make a mac application bundle which can work with the newer oracle jvm for mac (versions 7 and 8)  and change the code of the wrapper to integrate the apple events with the non-deprecated api in com.apple.eawt.  main changes are: - create a new target based on oracle s appbundler to create a bundle compatible with newer jvms. (not compatible with apple s jvm). - move the older target to jabref-legacy.app. - remove the old deprecated wrapper osxadapter  which does not work with oracle s jvm. - create new wrapper based on com.apple.eawt (compatible with both jvms). - improve the quit behaviour. - add support for the fullscreen feature.  the code changes are compatible with both oracle s jvms and apple legacy one  but the legacy bundle is currently broken as the code requires java 1.7+. tested with apple s jvm (1.6.0_65) and oracle s jvm (1.8.0_45).;;;;;;;;;1;0;;
56;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;fix double-click opening of files on mac;moving the registration of apple events ensures that double-clicking on a file to open it works even if jabref is not yet running.;;;;;;;;;1;0;;
65;1;1;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;1;replace usages of preferences by string through constants;i checked all the usage of strings for getting or setting preferences and replaced them by a the usage of a constant  if one existed. this gives some more static checking and consistency throughout the project. changes are limited to  src/main/java .   again this changes nothing functionwise  but only improves code quality.;;;;;;;;;1;0;;
66;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;fixed incompatibility with inspire output page;due to a change in the html output of the inspire search  jabref was no more able to distinguish the interesting output from the rest of the page. it was due to a missing newline character.;;;;;;;;;1;0;;
67;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;deprecated url;;;;;;;;;;1;0;;
74;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;refactor globals;this pull request reduces the infamous globals class to one third of its size. this is achieved by extracting every variable or method that is only used once to the position of its usage. in the case of char maps several map classes have been extracted.;;;;;;;;;1;0;;
75;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;code style;some minor code style cleanups.;;;;;;;;;1;0;;
77;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0;1;code style;more minor code style cleanups.;;;;;;;;;1;0;;
80;0;1;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;yet another code style iteration;;;;;;;;;;1;0;;
89;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;removes splash screen;this pr removes both the splash screen and the cli option to disable the splash screen.   why? - splash screen on modern systems is shown only for a very short period of time as jabref starts fast - we should focus on making jabref to start as fast as possible. a splash screen reduces the time to start the software as additional code needs to be executed.  - for each new version (even for beta and dev versions)  we have to check in a png with 200kb file size into the repository. this increases the amount of storage required for the git repository by 200kb for each version/dev-version. - the splash screen interferes with using jabref via the cli.  - it reduces code in jabref. hence  less code needs to be maintained.  this is a pr that is open for discussion. please add any pros/cons as you see fit.;;;;;;;;;1;0;;
93;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;logic improvements (java 1.7+);this pull request features various improvements of the classes in the logic package with the aim to transition beyond java 1.6 and improve quality. in particular: - updates license headers with current date - syntax optimizations: java 1.7 use of generics (diamond operator) - format code according to java conventions (c-style curly brackets  i am looking at you) - improves exception handling with logging - replace usages of exception with more precise exceptions - improves variable names - removes commented-out code  unused private methods (unused public methods/constructors are not eliminated) - use try-with-resources if possible - delete stale comments - replace stringbuffer with stringbuilder - remove history information from javadoc  (i am aware that i could push this directly  since i am now a contributor. as this started out as a pull request  i want to finish it as such. future cotributions will be made directly to jabref/master);;;;;;;;;1;0;;
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;rewrite doi parsing;i rewrote the doi parser as it was hard to understand and missing quite a few valid dois. it s not 100% but should be a lot better than before. - clearer and more permissive regex - better url encoding and decoding - more test coverage  any comments before merging this into master are appreciated.;;;;;;;;;1;0;;
100;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;move and refactor entryeditor;moves the classes related to the entryeditor into a separate gui package and performs a few refactorings and quality improvements on the way.;;;;;;;;;1;0;;
101;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;full text crawlers;**this pr enables automatic pdf fulltext downloads.**  current catalogs:   - acs - arxiv - springer - sciencedirect (elsevier) - google scholar  questions:  - do we want to include more crawlers? if yes  which? - action was in the  tools  menu. imho it should be either auto downloaded or included with the  download or  auto  button in the detailed entry view.  todo: -  make it nonblocking and keep the progress bar! -  add an option to delete the local file if a wrong file was downloaded -  tests on travis & circleci are blocked by google by  403 forbidden  (bot detection);;;;;;;;;1;0;;
105;1;1;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;move jabrefframe and basepanel to the gui package;this pull request moves the two central gui classes   jabrefframe  and  basepanel  to the gui package.   to preserve visibility constraints  this requires the relocation of many more classes that have package-local dependencies on the above two classes.   variables / methods in  jabrefframe  with reduced visibility that are accessed from  jabref  were made  public   since the latter class clearly does not belong to the gui package.;;;;;;;;;1;0;;
108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;extract model package with core data classes;this pull request extracts the most central data classes from the root package and puts them into a separate model package. it was possible to remove all gui dependencies from these classes.  additionally  all classes in the model package are refactored and adjusted to java 8 syntax.;;;;;;;;;1;0;;
127;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;minor improvement in googleurlcleaner #126;fixes detection of domains such as google.co.uk / co.jp / etc. and moves test class to test folder.;;;;;;;;;1;0;;
128;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;googleurlcleaner: add support for pasting using bound shortcut;;;;;;;;;;1;0;;
137;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;unify and simplify gui actions;- using lambdas for the simpler actions - some code cleanup - extract string commands as string constants to actions.java and use the constants in jabrefframe  basepanel and rightclickmenu - use the constants already defined in keybinds to get keystrokes for the actions (in jabrefframe  basepanel  entryeditor and rightclickmenu) - 8e3ad9d: remove quickfix for [sf.net bug #1277]( and implement feature properly: instead of deactivating  show/hide toolbar  when no database is open  the action has been move to jabrefframe and works now even if no database is open.  see also #136;;;;;;;;;1;0;;
143;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;fix sf bug #1285;restores the cursor resp.  caret  position when a field is store during editing. this fixes [sf.net bug #1285](  to be done:  - backport to dev_2.11 - ask for confirmation on sf.net and close the issue there.;;;;;;;;;1;0;;
147;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;remove option to set custom icon theme;the setting of a custom icon theme is not available in the gui. because of this  i removed it.   what is changed: - no support for custom icon themes anymore - a smaller guiglobals class - more explicit referencing of icons - less setup logic that is required to be called explicitly - when no icon is available  the default one (red.png at the moment) will be used. this allows to detect icon errors -> see below - less code  uncovered issues through this change: - the action openfolder is used in the icon bar  but as it had no icon  it was never displayed to the user. this is now marked explicitly in red  allowing us developers to fix this.  i am open for feedback.;;;;;;;;;1;0;;
150;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;removes the legacy-action integrity check;removes the **legacy**-action  tools--> legacy tools --> integrity check  with all its files.   what it helps: - removes 1000 lines of code - removes a feature that is marked as a legacy tool  what does the feature do at the moment: - check year: raise error if it contains a 4digit number - check title: warn only about wrong braces - check author/editor: check that the structure is correct using  and  and the     separator.  anyone who wants this feature to stay?  is there any other validation facility in place where we could add the checks instead?;;;;;;;;;1;0;;
164;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;small changes to default preferences;- fields in table are not colored (required/optional) - owner column is not shown - slightly increasing row padding in table;;;;;;;;;1;0;;
165;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;timestamp is not displayed by defaut;as discussed in #164 the timestamp column shouldn t be displayed by default.;;;;;;;;;1;0;;
175;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;increase saving speed;intended to 122  this pr turned into a major api change. it replaces  string  in the return types of  bibtexentrytype  with  list<string> . this allows to return immutable lists instead of mutable arrays and improves the stability of the program. additionally  the rewrite allowed to replace a lot of duplicate object creation with instance variables.  with respect to #122  the immutability of the new lists removes the necessity to create defensive copies and therefore avoids a lot of cloning.;;;;;;;;;1;0;;
178;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;auto detect user language #177;jabref now uses the system locale as default with this pr.  i simplified some methods in the process and implemented a fallback to  en  when there is no bundle for the default locale.  any suggestions?;;;;;;;;;1;0;;
187;1;1;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;1;0;1;1; fix linebreaking;evaluating the usage and problems of #114. what is fieldcontentparser really doing? what is jabref style formatting?;;;;;;;;;1;0;;
192;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;improved casechangers;new attempt with the same code and same limitations  but using branches. so hopefully possible to merge. i also used the jabref formatter and clean up. hopefully  i got it correct.;;;;;;;;;1;0;;
204;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;added pushing citations to texmaker;implements sourceforge feature requests #318 and #582.;;;;;;;;;1;0;;
205;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;replaced defaultformbuilder with formbuilder;replaced the deprecated defaultformbuilder with formbuilder in about ten instances.  as i was working with the external programs code  the strings there were unified to ease the translation work a bit.;;;;;;;;;1;0;;
206;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;added ability to merge from a downloaded doi based bibtex entry;- refactored mergeentriesdialog by splitting into a mergeentries providing a jpanel for merging and the dialog and moved these into gui.mergeentries - added mergeentrydoidialog to merge with a bibtex entry downloaded based on doi  e.g.  to add missing information or correct - added that functionality to the right-click menu for the entry table - made getentryfromdoi in doitobibtexfecther public to be able to use that to get the bibtex entry - added a new icon for doi (which probably should be used in other places);;;;;;;;;1;0;;
215;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;adding an advanced data structure for title/word in the casechangers â€¦;â€¦implementation.  @koppor this is what i ment. what do you think?;;;;;;;;;1;0;;
217;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;remove the option move-to-systray;why? - only applications that do background work are put in the systray  e.g.  dropbox or anti-virus-software.  - other software stays in the normal task bar - jabref currently does no background stuff  hence  should stay in the task bar only  gains? - less code - lesser quirky workarounds (see commit);;;;;;;;;1;0;;
219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;ieee journal abbreviations;why? - see #173   what is does: - bugfix: correct abbreviations are loaded when storing preferences through the advanced tab - ieee abbreviations are either plain (text) or in latex (code) form. for each of them  a separate file exist now. the config option  use_ieee  loads the latex one if it is true  and the plain one otherwise.;;;;;;;;;1;0;;
225;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;replaced defaultformbuilder with formbuilder;another batch of replacing the deprecated defaultformbuilder with formbuilder: autosetexternalfileforentries  basepanel  colorsetuppanel  dbconnectdialog  fromauxdialog  managekeywordsaction  masssetfieldaction  and synchronizefilefield.  clean up in util.java.;;;;;;;;;1;0;;
227;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;merge entries in duplicate detection;added a  merged entry  tab and preview/textbox in the duplicateresolverdialog and added handling of this at import and duplicate checking.  also fixed a bug leading to that if import was done without the importinspectiondialog  nullpointerexception happened as the metadata was not properly initialized.;;;;;;;;;1;0;;
229;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;removes non-compact rank symbols in favor of compact rank;why? - because it is ugly :taxi:  - keep consistent icon width - removes 140 lines of code  five icons  one preference check box;;;;;;;;;1;0;;
232;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;architecture;adds a the architecturetests class that ensures that specific packages stay independent from other packages.  why? - ensure that the architecture of jabref stays healthy.;;;;;;;;;1;0;;
235;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;clean ups;purpose was to replace more defaultformbuilders  but ended up cleaning up minor issues and removed quite a bit of disabled code from ieeexplorefetcher (bibtex fetching and multi-page search results)  which has not been working for years  and added support for a few more publication types that ieee xplore has added.;;;;;;;;;1;0;;
236;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;simplify key bindings;currently  there is a key binding for  push to application  but there can be key bindings for each specific application  e.g.  lyx  vim  etc.  to simplify  there should only be a key binding for the currently selected application  hence  only the  push to application  key binding.;;;;;;;;;1;0;;
237;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;less console output in tests;reduces console output during tests dramatically. this reduces the console output in travis  helping to find the cause for a failing test faster with less scrolling.;;;;;;;;;1;0;;
239;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;remove edit preamble and edit strings from toolbar. it is still availâ€¦;â€¦able under the bibtex menu.;;;;;;;;;1;0;;
241;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;set default encoding to utf-8;the utf-8 support of latex  [biber]( and [latex editors]( is really mature. to have interoperable  .bib  files  jabref should set the default encoding (for new users) to  utf-8;;;;;;;;;1;0;;
248;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;removes button to merge entries and keep the old ones.;- renames merge button into  merge entries . - removes button to merge entries and keep the old ones. the old ones are now always deleted.;;;;;;;;;1;0;;
251;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;removes legacy options to sync files in the  pdf  or  ps  field;why? - these legacy actions are replaced by using the  file  field and a much more sophisticated file sync action.;;;;;;;;;1;0;;
253;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;cleanup preferences;this pr remove preferences that are no longer used in jabref.  i checked the usage each public field of  jabrefpreferences  and  if there was no such usage  searched for string occurrences of the preference value in the complete project. if such usage was found  i replaced it with a usage of the respective field. otherwise  i deleted the preference.  all in all  only a surprisingly small amount of preferences is not used.;;;;;;;;;1;0;;
259;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;fixed some warnings  missing copyright statements  and some minor issues;pushtoemacs is causing formatting problems (works with manual formatting)  but other than that  i believe that everything should be ok.;;;;;;;;;1;0;;
264;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;remove unused menus for import/export;found some dead code in jabrefframe which has been used to generate submenus for custom imports/exports.   would be glad if someone checks whether this is okay.;;;;;;;;;1;0;;
266;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;removed a number of warnings  added copyright etc;cleanups based on warnings  primarily: - removed right-hand side arguments of diamond operators - static functions - commented empty blocks - added try-with - avoided hiding variables  included copyright statements.;;;;;;;;;1;0;;
267;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;removes option to hide the bibtex code tab in the entry editor.;why? - i do not see the point of hiding the bibtex code tab in the entry editor. hence  i removed the option.;;;;;;;;;1;0;;
274;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;save size of mergeentrydialog and mergeentrydoidialog;as per @koppor s request (sort of)  the  mergeentry*  dialogs now save and restore their size and position (same for both).;;;;;;;;;1;0;;
276;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;refactor bibtex model (a bit);- renames getallfields() to getfieldnames()  - add getfields() method  often the workflow in our code is:      java for(string name: entry.getfieldnames()) {   entry.getfield(name)    // do something }      we can directly use  entry.getfields()  for this now. are there any concurrency problems behind the old rationale or was it just dumb?;;;;;;;;;1;0;;
277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;refactor casechangers;;;;;;;;;;1;0;;
280;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;removes option to disable renaming in filechooser dialogs.;why? - i think this is annoying as one would expect this to work.   i can also live with the option that this is always active  but giving the user the option to choose is not good in my opinion.;;;;;;;;;1;0;;
283;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;replaced print-out messages with logger;added logger instead of print-outs in a bunch of places.;;;;;;;;;1;0;;
286;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;fixed a number of warnings;got rid of a number of warnings: - <> - static methods - commented empty blocks - general clean up;;;;;;;;;1;0;;
287;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;doaj search;search for directory of open access journals. quite functional  but the remaining things should (probably) be done -  ~~help page~~ -  decide on where the bibjsonconverter class should be positioned (input?) -  more fields? ~~issn?~~ -  ~~better/more error checking~~ -  ~~handle search results with more than 100 entries properly~~ -  ~~fill empty methods in doajfetcher~~ -  ~~update status bar~~ -  add test for bibjsonconverter -  ~~enable stopping search~~  implements what is discussed in #208;;;;;;;;;1;0;;
292;0;1;1;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;1;0;0;1;warning removal;more warnings removed.;;;;;;;;;1;0;;
298;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;warningremoval5;removed a bunch of warnings. - redundant specifications in <> - resource leakage - commented empty blocks - removed calls to util.pr;;;;;;;;;1;0;;
299;1;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;log message translation removals;trying to remove translated log messages  unless the translation is needed elsewhere. in that case i add a comment stating where the string is found.  i ll do this every now and then  so while not complete yet  it will be split in separate prs (unless there are any objections).;;;;;;;;;1;0;;
301;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;fixed a number of false positive translation strings;cleaned up the code (basically move localization.lang to the  correct  places) for a number of files to reduce the amount of false positives when it comes to possibly obsolete keys. this also resulted in some other related clean-ups  such as removing translation requests for database names (try to translate  inspire ).;;;;;;;;;1;0;;
302;1;1;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;replaced some of the getkey arguments with constants from keybinds;replaced some of the getkey arguments with constants from keybinds  change: the preamble editor dialog doesn t have its own key entry for closing it.;;;;;;;;;1;0;;
303;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;replaces the final(?) keybinds.string and some actions.string;some more cleanups.  in generalfetcher  the key binding for  fetch medline  is defined  which seems a bit non-intuitive. not sure how to proceed here.;;;;;;;;;1;0;;
304;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;replaced system.*.println with logger in vm.java;after looking more into the bibtex vm (as part of pr #298)  i better understood the structure of vm.java. hence  the main focus was to introduce logging for the warn function and it also lead to that other printouts were replaced with the logger.;;;;;;;;;1;0;;
305;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;1;0;0;1;add ability to format/cleanup the date field;the value in the date field has to be of the form yyyy-mm or yyyy-mm-dd according to the biblatex manual. this pr adds the ability to format/cleanup the date field to the correct format.;;;;;;;;;1;0;;
